Fecha,Programado,Ejecutado
22/01/2024,0.00,0.00
23/01/2024,0.00,0.00
24/01/2024,0.00,0.00
25/01/2024,0.00,0.00
26/01/2024,0.00,0.00
27/01/2024,0.00,0.00
29/01/2024,0.00,0.00
30/01/2024,0.00,0.00
31/01/2024,0.00,0.00
01/02/2024,0.00,0.00
02/02/2024,0.00,0.00
03/02/2024,0.00,0.00
05/02/2024,0.00,0.00
06/02/2024,0.00,0.00
07/02/2024,0.00,0.00
08/02/2024,0.00,0.00
09/02/2024,0.00,0.00
10/02/2024,0.00,0.00
12/02/2024,0.00,0.00
13/02/2024,0.00,0.00
14/02/2024,0.00,0.00
15/02/2024,0.00,0.00
16/02/2024,0.00,0.00
17/02/2024,0.00,0.00
19/02/2024,0.00,0.00
20/02/2024,0.00,0.00
21/02/2024,0.00,0.00
22/02/2024,0.00,0.00
23/02/2024,0.00,0.00
24/02/2024,0.00,0.00
26/02/2024,0.00,0.00
27/02/2024,0.00,0.00
28/02/2024,0.00,0.00
29/02/2024,0.00,0.00
01/03/2024,0.00,0.00
02/03/2024,0.00,0.00
04/03/2024,0.00,0.00
05/03/2024,0.00,0.00
06/03/2024,0.00,0.00
07/03/2024,0.00,0.00
08/03/2024,0.00,0.00
09/03/2024,0.00,0.00
11/03/2024,0.00,0.00
12/03/2024,0.00,0.00
13/03/2024,0.00,0.00
14/03/2024,0.00,0.00
15/03/2024,0.00,0.00
16/03/2024,0.00,0.00
18/03/2024,0.00,0.00
19/03/2024,0.00,0.00
20/03/2024,0.00,0.00
21/03/2024,0.00,0.00
22/03/2024,0.00,0.00
23/03/2024,0.00,0.00
25/03/2024,0.01,0.00
26/03/2024,0.01,0.00
27/03/2024,0.01,0.00
28/03/2024,0.01,0.00
29/03/2024,0.01,0.00
30/03/2024,0.01,0.00
01/04/2024,0.01,0.00
02/04/2024,0.01,0.00
03/04/2024,0.01,0.00
04/04/2024,0.01,0.00
05/04/2024,0.01,0.00
06/04/2024,0.01,0.00
08/04/2024,0.01,0.00
09/04/2024,0.01,0.00
10/04/2024,0.01,0.00
11/04/2024,0.01,0.00
12/04/2024,0.01,0.00
13/04/2024,0.01,0.00
15/04/2024,0.01,0.00
16/04/2024,0.01,0.00
17/04/2024,0.01,0.00
18/04/2024,0.01,0.00
19/04/2024,0.01,0.00
20/04/2024,0.01,0.00
22/04/2024,0.01,0.00
23/04/2024,0.01,0.00
24/04/2024,0.01,0.00
25/04/2024,0.01,0.00
26/04/2024,0.01,0.00
27/04/2024,0.01,0.00
29/04/2024,0.01,0.00
30/04/2024,0.01,0.00
01/05/2024,0.01,0.00
02/05/2024,0.01,0.00
03/05/2024,0.01,0.00
04/05/2024,0.01,0.00
06/05/2024,0.01,0.01
07/05/2024,0.01,0.01
08/05/2024,0.01,0.01
09/05/2024,0.01,0.01
10/05/2024,0.01,0.01
11/05/2024,0.01,0.01
13/05/2024,0.01,0.01
14/05/2024,0.01,0.01
15/05/2024,0.01,0.01
16/05/2024,0.01,0.01
17/05/2024,0.01,0.01
18/05/2024,0.01,0.01
20/05/2024,0.01,0.01
21/05/2024,0.01,0.01
22/05/2024,0.01,0.01
23/05/2024,0.01,0.01
24/05/2024,0.01,0.01
25/05/2024,0.01,0.01
27/05/2024,0.01,0.01
28/05/2024,0.01,0.01
29/05/2024,0.02,0.01
30/05/2024,0.02,0.01
31/05/2024,0.02,0.01
01/06/2024,0.02,0.01
03/06/2024,0.02,0.01
04/06/2024,0.02,0.01
05/06/2024,0.02,0.01
06/06/2024,0.02,0.01
07/06/2024,0.02,0.01
08/06/2024,0.02,0.01
10/06/2024,0.02,0.01
11/06/2024,0.02,0.01
12/06/2024,0.02,0.01
13/06/2024,0.02,0.01
14/06/2024,0.02,0.01
15/06/2024,0.02,0.01
17/06/2024,0.02,0.01
18/06/2024,0.02,0.01
19/06/2024,0.02,0.01
20/06/2024,0.02,0.01
21/06/2024,0.02,0.01
22/06/2024,0.02,0.01
24/06/2024,0.02,0.01
25/06/2024,0.02,0.01
26/06/2024,0.02,0.01
27/06/2024,0.02,0.01
28/06/2024,0.03,0.01
29/06/2024,0.03,0.02
01/07/2024,0.03,0.02
02/07/2024,0.03,0.02
03/07/2024,0.03,0.02
04/07/2024,0.03,0.02
05/07/2024,0.03,0.02
06/07/2024,0.03,0.02
08/07/2024,0.04,0.02
09/07/2024,0.04,0.02
10/07/2024,0.04,0.02
11/07/2024,0.04,0.02
12/07/2024,0.04,0.02
13/07/2024,0.04,0.02
15/07/2024,0.05,0.02
16/07/2024,0.05,0.02
17/07/2024,0.05,0.02
18/07/2024,0.05,0.02
19/07/2024,0.05,0.02
20/07/2024,0.05,0.02
22/07/2024,0.05,0.02
23/07/2024,0.05,0.02
24/07/2024,0.05,0.02
25/07/2024,0.06,0.03
26/07/2024,0.06,0.03
